district,flip
AZ-02,Flip
AZ-06,Hold
AZ-sen,Flip
CA-10,Flip
CA-25,Flip
CA-39,Flip
CA-45,Flip
CA-48,Flip
CA-49,Flip
CO-06,Flip
FL-15,Hold
FL-26,Flip
FL-27,Flip
FL-gov,Hold
FL-sen,Flip
GA-06,Flip
IA-01,Flip
IA-03,Flip
IA-04,Hold
IL-06,Flip
IL-12,Hold
IL-13,Hold
IL-14,Flip
KS-02,Hold
KS-03,Flip
KY-06,Hold
ME-02,Flip
MI-08,Flip
MI-11,Flip
MN-02,Flip
MN-03,Flip
MN-08,Flip
NC-09,Hold
NC-13,Hold
NE-02,Hold
NJ-03,Flip
NJ-07,Flip
NJ-11,Flip
NM-02,Flip
NV-sen,Flip
NY-01,Hold
NY-11,Flip
NY-19,Flip
NY-22,Flip
NY-27,Undecided
OH-01,Hold
PA-01,Hold
PA-07,Flip
PA-08,Hold
PA-10,Hold
PA-16,Hold
TN-sen,Hold
TX-07,Flip
TX-23,Hold
TX-31,Hold
TX-32,Flip
TX-sen,Hold
UT-04,Undecided
VA-02,Flip
VA-05,Hold
VA-07,Flip
VA-10,Flip
WA-03,Hold
WA-08,Flip
WI-01,Hold
WV-03,Hold